id,book_id,best_book_id,books_count,isbn13,authors,original_publication_year,original_title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,image_url
1,2767052,2767052,272,9780439023480,Suzanne Collins,2008,The Hunger Games,4.34,4780653,4942365,155254,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,3,3,491,9780439554930,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,4.44,4602479,4800065,75867,https://images.gr-assets.com/books/1474154022m/3.jpg
3,41865,41865,226,9780316015840,Stephenie Meyer,2005,Twilight,3.57,3866839,3916824,95009,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,2657,2657,487,9780061120080,Harper Lee,1960,To Kill a Mockingbird,4.25,3198671,3340896,72586,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,4671,4671,1356,9780743273560,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,2773745,51992,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,11870085,11870085,226,9780525478810,John Green,2012,The Fault in Our Stars,4.26,2346404,2478609,140739,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,5907,5907,969,9780618260300,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,4.25,2071616,2196809,37653,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,5107,5107,360,9780316769170,J.D. Salinger,1951,The Catcher in the Rye,3.79,2044241,2120637,44920,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,960,960,311,9781416524790,Dan Brown,2000,Angels & Demons ,3.85,2001311,2078754,25112,https://images.gr-assets.com/books/1303390735m/960.jpg
10,1885,1885,3455,9780679783270,Jane Austen,1813,Pride and Prejudice,4.24,2035490,2191465,49152,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,77203,77203,283,9781594480000,Khaled Hosseini,2003,The Kite Runner ,4.26,1813044,1878095,59730,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,13335037,13335037,210,9780062024040,Veronica Roth,2011,Divergent,4.24,1903563,2216814,101023,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,5470,5470,995,9780451524940,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,4.14,1956832,2053394,45518,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,7613,7613,896,9780452284240,George Orwell,1945,Animal Farm: A Fairy Story,3.87,1881700,1982987,35472,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,48855,48855,710,9780553296980,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,4.1,1972666,2024493,20825,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,2429135,2429135,274,9780307269750,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,4.11,1808403,1929834,62543,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,6148028,6148028,201,9780439023500,Suzanne Collins,2009,Catching Fire,4.3,1831039,1988079,88538,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,5,5,376,9780439655480,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,4.53,1832823,1969375,36099,https://images.gr-assets.com/books/1499277281m/5.jpg
